fsa,LDU,latitude,longitude,distance_min
L9C,2X2,43.220043,-79.907082,1.4009779580545592
L9C,3J1,43.243443,-79.878571,0.7496288383862181
L9G,5A8,43.21862,-79.985863,0.16767007103710846
L9H,2G7,43.266689,-79.961784,0.3606469360473793
L9T,3N8,43.519039,-79.868187,0.5853188609499287
L9T,7H3,43.495613,-79.873055,0.09825485143352249
M1B,1S1,43.800884,-79.228058,0.5626619880888847
M1H,2Y1,43.765919,-79.227798,0.48833229340382633
M1K,4G5,43.720467,-79.253281,1.2009315013576216
M1V,3Z4,43.825165,-79.277985,0.14562320202122087
M2K,1W7,43.777882,-79.385635,0.9693740309806271
M2M,1E1,43.785946,-79.422256,0.3917938949290486
M3B,2Z3,43.743767,-79.342484,0.17341495591316133
M3C,3E5,43.721844,-79.333076,0.12632060739737774
M3N,1H5,43.747849,-79.521004,0.3985966793996338
M3N,2G5,43.767269,-79.530113,0.737057262097055
M4L,3S6,43.669708,-79.302406,0.3804127542829164
M4M,2N4,43.661434,-79.342979,0.08983170014806492
M6C,2P7,43.689453,-79.435089,0.40474634259377235
M6J,2H1,43.644341,-79.405769,0.15160667643079212
M6L,2H1,43.71563,-79.47374,0.7707984998191534
M8W,2R2,43.611347,-79.534721,0.4778874700689904
M9B,3K3,43.667011,-79.570969,1.150154467764252
M9B,4E1,43.645302,-79.540077,0.4629725888310888
M9C,2A5,43.630756,-79.577583,0.15094964846962494
M9P,2L3,43.700775,-79.53009,0.7962607248959173
N1R,2K1,43.353508,-80.304832,0.899794486388674
N1S,3C5,43.347225,-80.325157,0.6599806464039071
N1T,0B9,43.389725,-80.282967,1.4609551720720793
N2C,2P1,43.423111,-80.442894,0.32011980288000347
N2C,2V4,43.412872,-80.428513,1.5074715003988421
N2E,1C5,43.41864,-80.495163,0.6860983099667878
N2E,3Z1,43.410233,-80.528603,1.5607858103816703
N2J,1W5,43.461369,-80.512215,0.37539280806156666
N2K,2V1,43.505421,-80.523102,0.4256879620998334
N3R,6V5,43.186726,-80.266052,1.1540415442573597
N3R,7M6,43.184937,-80.268616,0.8944904305715295
N3T,4G9,43.144463,-80.284958,1.2346534421943933
N5V,4Y4,43.006939,-81.15567,1.5545300578182
N5Y,5J4,43.018764,-81.231499,1.1112424764916107
N5Z,1Z8,42.978741,-81.219177,0.18760646059095828
N6C,4L9,42.961807,-81.23497,0.2598794707791144
N6C,5Z4,42.962994,-81.244606,1.0467497843445719
N6G,3T3,42.998158,-81.287102,1.2933566319108065
N6K,2H2,42.947987,-81.334076,0.6056074030810527
N8N,2S6,42.301743,-82.836266,2.120915529183645
